#Elemside data
0 1 2
3 4 1
4 5 6
7 8 5
9 10 3
11 12 0
13 14 7
15 16 8
17 18 12
19 9 18
20 21 14
22 13 10
23 11 24
16 25 26
27 28 17
29 15 21
30 31 19
32 33 20
34 35 36
37 38 39
40 41 22
42 43 28
44 45 23
46 47 25
48 49 50
51 52 53
54 55 56
57 58 59
60 61 62
63 64 65
66 37 58
35 67 54
68 69 29
45 70 27
71 30 43
72 73 33
74 75 42
31 76 40
77 78 79
80 81 82
41 83 32
84 44 64
47 85 60
86 48 38
52 87 34
88 89 90
91 92 93
94 95 96
97 98 99
100 68 73
101 46 69
102 103 61
104 105 63
106 107 66
108 109 67
110 111 75
112 80 49
78 113 51
114 115 70
116 117 72
118 119 71
120 121 83
122 123 76
124 125 55
126 127 57
115 128 74
129 97 81
95 130 77
131 132 84
103 133 88
134 104 92
135 136 86
137 138 87
139 140 100
98 141 91
142 94 89
143 144 85
145 146 110
147 148 106
149 150 109
151 118 111
152 153 101
154 155 117
156 157 112
158 159 113
132 160 114
161 135 107
138 162 108
121 163 116
164 139 155
165 131 105
144 166 102
123 167 120
168 122 119
169 170 130
171 172 129
173 174 141
175 176 142
177 178 128
179 126 180
125 181 182
183 152 140
150 184 124
185 147 127
186 187 146
188 189 133
190 191 134
192 156 136
159 193 137
178 194 145
195 196 154
197 198 148
199 200 149
153 201 143
202 203 151
204 205 164
206 207 163
208 209 168
210 211 167
212 171 157
170 213 158
214 215 160
216 217 165
218 219 161
220 221 162
189 222 175
223 190 174
224 188 166
172 225 173
226 169 176
227 228 183
215 229 177
230 231 186
232 233 181
234 235 179
236 237 184
238 239 185
240 202 187
241 242 192
243 244 193
245 246 196
247 204 246
248 249 194
207 250 195
251 216 191
252 227 205
253 254 200
255 256 197
257 208 203
258 259 201
221 260 199
261 218 198
211 262 206
263 210 209
264 265 212
266 267 213
249 268 230
217 269 214
270 271 226
272 273 225
259 274 224
275 241 219
244 276 220
277 278 231
279 280 247
281 270 222
273 282 223
283 284 229
285 258 228
286 287 245
288 289 240
290 291 234
292 293 290
294 295 233
296 297 295
298 238 235
237 299 232
300 301 250
302 264 242
267 303 243
304 255 239
254 305 236
284 306 248
307 308 257
309 310 251
311 312 262
313 314 253
315 316 256
317 318 252
319 320 263
321 322 260
323 324 261
325 326 268
327 328 269
271 329 266
330 272 265
331 332 279
333 334 277
287 335 331
336 337 291
338 339 294
340 288 278
341 317 280
342 343 275
344 345 276
346 347 274
347 348 281
349 309 282
326 350 333
351 352 285
301 353 286
328 354 283
355 307 289
312 356 300
357 358 298
359 360 299
361 362 302
363 364 303
365 319 308
366 367 306
320 368 311
369 370 305
371 372 304
373 374 335
375 336 293
339 376 296
377 378 314
379 380 315
381 351 318
322 382 313
383 323 316
384 327 310
385 386 334
387 388 329
389 390 330
391 392 332
367 393 325
394 342 324
345 395 321
386 396 340
392 397 341
398 357 337
360 399 338
400 401 353
402 403 350
404 405 349
352 406 346
407 361 343
364 408 344
409 410 348
411 412 374
413 414 354
415 416 355
417 418 356
419 420 365
421 422 368
423 391 412
424 425 385
403 426 424
414 427 366
388 428 363
429 389 362
401 430 373
431 371 358
370 432 359
433 434 381
435 436 377
437 438 380
372 439 379
440 369 378
441 442 375
443 444 376
445 446 383
447 448 382
410 449 387
450 404 390
451 452 384
453 415 396
454 402 393
446 455 394
456 447 395
457 433 397
458 459 406
460 461 411
418 462 400
459 463 409
464 451 405
442 465 398
466 443 399
467 468 407
469 470 408
471 419 416
452 472 413
422 473 417
474 475 425
476 477 423
478 421 420
479 480 429
481 482 428
483 484 426
485 486 430
487 488 454
489 487 427
448 490 435
491 445 438
492 493 449
494 495 450
496 458 434
497 498 437
499 500 436
501 502 431
503 504 432
505 506 439
507 508 440
509 510 453
511 512 513
514 515 516
517 518 461
519 520 441
521 522 444
523 476 518
524 467 455
470 525 456
486 526 460
527 528 457
529 530 531
532 533 534
535 536 462
537 538 471
539 540 474
484 541 539
542 543 473
544 545 546
547 548 549
550 551 472
552 553 478
495 554 464
555 527 477
556 509 475
557 492 463
558 559 465
560 561 466
482 562 469
563 479 468
564 565 512
566 567 514
568 569 570
571 572 573
574 575 511
576 577 515
578 483 488
551 579 489
580 581 496
536 582 485
583 494 480
493 584 481
585 586 587
588 589 590
591 574 533
577 592 529
593 594 517
595 537 510
548 596 532
597 544 530
598 599 565
599 600 566
601 602 490
603 604 491
605 606 607
608 609 610
611 612 523
602 613 499
614 603 498
615 507 500
506 616 497
559 617 501
618 560 504
619 620 621
622 623 624
625 626 541
627 505 502
508 628 503
629 630 526
631 632 585
633 634 589
635 636 540
637 580 528
638 639 640
641 642 643
644 645 524
646 647 525
543 648 535
649 650 600
651 652 598
545 653 568
654 547 572
606 655 588
656 608 586
657 658 556
659 660 578
661 552 538
634 662 571
663 631 569
664 665 520
666 667 521
668 669 670
671 672 673
553 674 542
675 676 554
677 678 557
679 680 555
676 681 550
682 683 563
684 685 562
686 687 688
689 690 691
692 693 564
694 695 567
696 677 581
697 698 594
699 611 698
700 701 650
665 702 558
703 666 561
704 692 575
695 705 576
706 707 582
708 709 579
710 711 712
713 714 715
716 717 584
718 719 583
630 720 593
721 722 597
723 724 596
725 726 595
724 727 591
728 721 592
729 730 626
731 732 733
734 735 736
737 619 609
623 738 605
739 679 612
740 638 620
642 741 622
742 743 744
745 746 747
748 749 613
750 751 614
752 635 730
753 641 672
639 754 668
755 756 689
757 758 687
709 759 659
760 601 647
604 761 644
762 763 764
765 766 767
768 769 637
770 771 653
772 773 654
758 774 671
775 755 669
776 777 686
778 625 660
779 657 636
780 781 615
782 783 616
784 785 786
787 788 789
790 791 710
792 790 690
793 776 714
707 794 629
795 796 648
797 798 617
799 800 618
801 802 656
803 804 655
805 806 627
807 808 628
809 810 651
804 811 633
812 801 632
685 813 646
814 682 645
815 731 711
735 816 713
817 818 661
819 820 821
822 823 824
825 725 658
826 827 674
828 829 652
829 830 649
831 832 833
834 835 836
837 838 729
839 772 662
771 840 663
841 842 697
719 843 675
844 845 700
846 716 678
847 848 699
849 850 664
851 852 667
853 854 855
856 857 858
859 768 680
860 861 681
862 863 864
865 866 867
783 868 750
869 780 749
870 809 693
701 871 694
872 718 683
717 873 684
874 875 696
876 877 878
879 880 881
882 883 737
884 885 738
861 886 708
887 888 704
889 890 705
891 892 754
893 894 753
895 896 897
898 899 900
901 902 740
903 904 741
796 905 706
906 770 722
773 907 723
908 909 702
910 911 703
912 913 720
914 887 727
890 915 728
746 916 734
917 742 732
918 817 726
919 920 778
921 922 923
924 925 926
927 762 743
766 928 745
929 930 931
932 933 934
935 936 752
937 784 763
788 938 765
939 940 941
942 943 944
945 946 739
947 948 949
950 951 952
953 954 838
955 956 957
958 959 960
961 819 785
823 962 787
963 874 769
964 965 779
966 967 759
968 969 760
970 971 761
835 972 822
973 831 820
974 975 757
976 977 756
885 978 803
979 882 802
980 853 832
857 981 834
982 893 774
892 983 775
984 985 751
986 987 748
988 989 816
990 991 815
992 993 811
994 995 812
996 997 794
998 999 1000
1001 1002 1003
977 1004 792
1005 974 777
827 1006 795
1007 1008 845
854 1009 862
1010 856 866
1011 1012 847
842 1013 1011
1014 990 791
989 1015 793
1016 1017 880
1018 1019 876
1020 1021 899
1022 1023 895
1024 826 818
1025 1026 810
1027 1018 863
1017 1028 865
1029 1030 825
1031 1032 922
1033 1034 924
993 1035 839
1036 994 840
1021 1037 879
1038 1022 877
1039 1040 813
1041 1042 814
1032 1043 898
1044 1033 896
1045 1046 921
1047 1048 925
1049 1050 871
1051 807 781
806 1052 782
1048 1053 929
1054 1045 933
798 1055 805
1056 799 808
1057 910 800
909 1058 797
1059 1060 828
913 1061 841
1062 1063 843
1064 1065 844
940 1066 932
1067 942 930
1068 945 848
875 1069 846
1070 1064 830
920 1071 837
1072 1073 859
1074 1075 1076
1077 1078 1079
902 1080 891
1081 903 894
1082 1083 906
1084 1085 907
1086 1087 1088
1089 1090 1091
1092 1059 1026
1063 1093 860
1094 1095 850
1096 1097 851
967 1098 919
883 1099 901
